"Product Number","Kpi Obj Catlog","Product Name","STANDARD_SKU_DESC","BRANDY_DESC","Sub Division Name","CATEGORY_DESC","SUB_CATEGORY_DESC","BRAND_DESC","BASE_UOM","Số lượng Base UOM / thùng","Số lượng pcs / Base UOM","Pcs / thùng","NET (Kg - base UOM)","Litre - Base UOM","Weight (case)","Primary UOM","Group SKU","Demand Planning Standard SKU Name","Innovation Name","Active Status","Local / Export / Others","Current Year Innovation(Y/N)","BU/Division","Innovation Type","Itemcode Type","Supply Strategy","Production Group","Launching Time"
"Mam tom_202407",,"Mắm tôm","Mắm tôm","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.4,0,6,"Ton","Đặc sản vùng miền","Mắm tôm","FS","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"Mam nem_202407",,"Mắm nêm","Mắm nêm","Chinsu","Seasoning","Sauces","Other sauces","Chinsu","Hu",24,1,24,0.4,0,6,"Ton","Đặc sản vùng miền","Mắm nêm","FS","Active","Local","Y","Seasoning","Innovation","Code tạm",,"Other Sauces","2024"
"03NM00750",,"Nước chấm Nam Ngư Siêu tiết kiệm 6chai x 1.8L","Fish Sauces Nam Ngư Siêu tiết kiệm 1.8L","Nam Ngư siêu tiết kiệm","Seasoning","Sauces","Fish Sauces","Nam Ngư","Cha",6,1,6,1.8,1.8,10.8,"K.Lit","STK","Fish Sauces Nam Ngư Siêu tiết kiệm 1.8L",,"Active","Local",,"Seasoning",,"Code hệ thống",,"Fish Sauces (PET)","2023/Q4"
"03MR00016","Xốt Chinsu","Xốt nhà hàng CHIN-SU canh chua 8hộp x 10túi x 80gr","Marinating Chinsu Xốt nhà hàng canh chua 80gr","Xốt nhà hàng Chinsu","Seasoning","Dry Seasoning","Marinating","Chinsu","Hop",8,10,80,0.8,0,6.4,"Ton","Cooking sauces_Innovation","Marinating Chinsu Xốt nhà hàng canh chua 80gr","Xốt - Innovation","Active","Local",,"Seasoning","Innovation","Code hệ thống",,"Other Sauces","2024"
"03MR00017","Xốt Chinsu","Xốt nhà hàng CHIN-SU thịt nướng bún chả 8hộp x 10túi x 75gr","Marinating Chinsu Xốt nhà hàng thịt nường bún chả 75gr","Xốt nhà hàng Chinsu","Seasoning","Dry Seasoning","Marinating","Chinsu","Hop",8,10,80,0.75,0,6,"Ton","Cooking sauces_Innovation","Marinating Chinsu Xốt nhà hàng thịt nường bún chả 75gr","Xốt - Innovation","Active","Local",,"Seasoning","Innovation","Code hệ thống",,"Other Sauces","2024"
"03MR00018","Xốt Chinsu","Xốt nhà hàng CHIN-SU phở bò 4hộp x 6túi x 160gr","Marinating Chinsu Xốt nhà hàng phở bò 160gr","Xốt nhà hàng Chinsu","Seasoning","Dry Seasoning","Marinating","Chinsu","Hop",4,6,24,0.96,0,3.84,"Ton","Cooking sauces_Innovation","Marinating Chinsu Xốt nhà hàng phở bò 160gr","Xốt - Innovation","Active","Local",,"Seasoning","Innovation","Code hệ thống",,"Other Sauces","2024"
"03NM00759",,"Nước chấm Nam Ngư ớt gừng Kỳ Sơn MN 12chai x 200ml","Fish Sauces Nam Ngư ớt gừng Kỳ Sơn 200ml","Nam Ngư pha sẵn","Seasoning","Sauces","Fish Sauces","Nam Ngư","Cha",12,1,12,0.2,0.2,2.4,"K.Lit","NC Nam Ngư pha sẵn","Fish Sauces Nam Ngư ớt gừng Kỳ Sơn 200ml","Innovation_FS based Sauce","Active","Local","Y","Seasoning","Innovation","Code hệ thống",,"Fish Sauces (PET)","2023/Q4"
"03NM00760",,"Nước chấm Nam Ngư ớt gừng Kỳ Sơn MB 12chai x 200ml","Fish Sauces Nam Ngư ớt gừng Kỳ Sơn 200ml","Nam Ngư pha sẵn","Seasoning","Sauces","Fish Sauces","Nam Ngư","Cha",12,1,12,0.2,0.2,2.4,"K.Lit","NC Nam Ngư pha sẵn","Fish Sauces Nam Ngư ớt gừng Kỳ Sơn 200ml","Innovation_FS based Sauce","Active","Local","Y","Seasoning","Innovation","Code hệ thống",,"Fish Sauces (PET)","2023/Q4"
"03NM00761",,"Nước chấm Nam Ngư me tươI Nam Bộ 12chai x 200ml","Fish Sauces Nam Ngư me tươi Nam Bộ 200ml","Nam Ngư pha sẵn","Seasoning","Sauces","Fish Sauces","Nam Ngư","Cha",12,1,12,0.2,0.2,2.4,"K.Lit","NC Nam Ngư pha sẵn","Fish Sauces Nam Ngư me tươi Nam Bộ 200ml","Innovation_FS based Sauce","Active","Local","Y","Seasoning","Innovation","Code hệ thống",,"Fish Sauces (PET)","2023/Q4"
"03HH00011",,"Combo CHIN-SU Tết MN (1chai NM + 1chai TO)","Chilli Sauces Chinsu Combo","Tương ớt Chinsu","Seasoning","Sauces","Chilli Sauces","Chinsu","Hop",6,2,12,1.6,,9.6,"Ton","Hộp quà_CCBĐ VIP","Chilli Sauces Chinsu Combo","Innovation_ TET","Active","Local",,"Seasoning",,"Code hệ thống",,"Fish Sauces (Glass)","2023/Q4"
