Demand Planning Standard SKU Name,Group SKU,Channel,Sub Division Name,Duplication,1,2,3,4,5,6,7,8,9,10,11,12
Non Beer Alcohol_2_Pack 24,Non Beer Alcohol_2,GT0_C1,Beer,Non Beer Alcohol_2_Pack 24Non Beer Alcohol_2GT0_C1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
RTD Tea TEA365 hương đào 500ml,Trà,GT0,Refreshment Drinks,RTD Tea TEA365 hương đào 500mlTràGT0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5
RTD Tea TEA365 hương chanh sả 500ml,Trà,GT0,Refreshment Drinks,RTD Tea TEA365 hương chanh sả 500mlTràGT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.25,0.25,0.25
RTD Tea TEA365 hương mật ong 500ml,Trà,GT0,Refreshment Drinks,RTD Tea TEA365 hương mật ong 500mlTràGT0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.25,0.25,0.25
Mineral Water Vĩnh Hảo Không ga 350ml,Mineral - Still,GT0_C1,Refreshment Drinks,Mineral Water Vĩnh Hảo Không ga 350mlMineral - StillGT0_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mineral Water Vĩnh Hảo Không ga 500ml,Mineral - Still,GT0_C1,Refreshment Drinks,Mineral Water Vĩnh Hảo Không ga 500mlMineral - StillGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mineral Water Vĩnh Hảo Không ga 1.5L,Mineral - Still,GT0_C1,Refreshment Drinks,Mineral Water Vĩnh Hảo Không ga 1.5LMineral - StillGT0_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mineral Water Vĩnh Hảo Không ga 5L,Mineral - Still,GT0_C1,Refreshment Drinks,Mineral Water Vĩnh Hảo Không ga 5LMineral - StillGT0_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mineral Water Vivant chứa khoáng 500ml,Vivant Xanh,GT0,Refreshment Drinks,Mineral Water Vivant chứa khoáng 500mlVivant XanhGT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mineral Water Vivant chứa khoáng nhẹ 500ml,Vivant Xanh,GT0,Refreshment Drinks,Mineral Water Vivant chứa khoáng nhẹ 500mlVivant XanhGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mineral Water Vivant chứa khoáng nhẹ 5L,Vivant Xanh,GT0,Refreshment Drinks,Mineral Water Vivant chứa khoáng nhẹ 5LVivant XanhGT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EnerZ,EnerZ,GT0,Refreshment Drinks,EnerZEnerZGT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSD Faith Chanh muối 355ml MN,Faith ,MT0,Refreshment Drinks,CSD Faith Chanh muối 355ml MNFaith MT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSD Faith Chanh muối 355ml,Faith,MT0,Refreshment Drinks,CSD Faith Chanh muối 355mlFaithMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Faith Chanh muối 355ml MN,Faith ,GT0,Refreshment Drinks,CSD Faith Chanh muối 355ml MNFaith GT0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSD Faith Chanh muối 355ml,Faith,GT0,Refreshment Drinks,CSD Faith Chanh muối 355mlFaithGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Faith Chanh muối 355ml MN,Faith MN,MT0,Refreshment Drinks,CSD Faith Chanh muối 355ml MNFaith MNMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CSD Faith Chanh muối 355ml MN,Faith MN,GT0,Refreshment Drinks,CSD Faith Chanh muối 355ml MNFaith MNGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mineral Water Vivant chứa khoáng 500ml,Vivant Xanh,GT0_C1,Refreshment Drinks,Mineral Water Vivant chứa khoáng 500mlVivant XanhGT0_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
