Demand Planning Standard SKU Name,Group SKU,Channel,Sub Division Name,Duplication,1,2,3,4,5,6,7,8,9,10,11,12
Cháo Story Tươi (túi),Cháo Story Tươi (túi),GT0,Rice base,Cháo Story Tươi (túi)Cháo Story Tươi (túi)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo Story Tươi (túi),Cháo Story Tươi (túi),MT0,Rice base,Cháo Story Tươi (túi)Cháo Story Tươi (túi)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Ly BBRC,OMC Ly BBRC,GT0,Convenience Foods,OMC Ly BBRCOMC Ly BBRCGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Ly BBRC,OMC Ly BBRC,MT0,Convenience Foods,OMC Ly BBRCOMC Ly BBRCMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Ly Thịt BBRC,OMC Ly Thịt BBRC,GT0,Convenience Foods,OMC Ly Thịt BBRCOMC Ly Thịt BBRCGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Ly Thịt BBRC,OMC Ly Thịt BBRC,MT0,Convenience Foods,OMC Ly Thịt BBRCOMC Ly Thịt BBRCMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Tô Nước BBRC,OMC Tô Nước BBRC,GT0,Convenience Foods,OMC Tô Nước BBRCOMC Tô Nước BBRCGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Tô Nước BBRC,OMC Tô Nước BBRC,MT0,Convenience Foods,OMC Tô Nước BBRCOMC Tô Nước BBRCMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi bắp bò riêu cua,OMC Lẩu tự sôi bắp bò riêu cua,MT0,Convenience Foods,OMC Lẩu tự sôi bắp bò riêu cuaOMC Lẩu tự sôi bắp bò riêu cuaMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu bò cay,OMC Lẩu bò cay,GT0,Convenience Foods,OMC Lẩu bò cayOMC Lẩu bò cayGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu bò cay,OMC Lẩu bò cay,MT0,Convenience Foods,OMC Lẩu bò cayOMC Lẩu bò cayMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo Story Khô (gói),Cháo Story Khô (gói),GT0,Rice base,Cháo Story Khô (gói)Cháo Story Khô (gói)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo Story Khô (gói),Cháo Story Khô (gói),MT0,Rice base,Cháo Story Khô (gói)Cháo Story Khô (gói)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo Story Khô (ly),Cháo Story Khô (ly),GT0,Rice base,Cháo Story Khô (ly)Cháo Story Khô (ly)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo Story Khô (ly),Cháo Story Khô (ly),MT0,Rice base,Cháo Story Khô (ly)Cháo Story Khô (ly)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì trộn xoài,Mì trộn xoài,GT0,Cooking Noodle,Mì trộn xoàiMì trộn xoàiGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì trộn xoài,Mì trộn xoài,MT0,Cooking Noodle,Mì trộn xoàiMì trộn xoàiMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì canh chua,Mì canh chua,GT0,Cooking Noodle,Mì canh chuaMì canh chuaGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì canh chua,Mì canh chua,MT0,Cooking Noodle,Mì canh chuaMì canh chuaMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì bò hầm,Mì bò hầm,GT0,Cooking Noodle,Mì bò hầmMì bò hầmGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì bò hầm,Mì bò hầm,MT0,Cooking Noodle,Mì bò hầmMì bò hầmMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Mì lạnh xốt táo,OMC Mì lạnh xốt táo,GT0,Cooking Noodle,OMC Mì lạnh xốt táoOMC Mì lạnh xốt táoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Mì lạnh xốt táo,OMC Mì lạnh xốt táo,MT0,Cooking Noodle,OMC Mì lạnh xốt táoOMC Mì lạnh xốt táoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì trộn Spa,Mì trộn Spa,GT0,Cooking Noodle,Mì trộn SpaMì trộn SpaGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì trộn Spa,Mì trộn Spa,MT0,Cooking Noodle,Mì trộn SpaMì trộn SpaMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokomi Ly_Sườn,Kokomi Ly_Sườn,GT0,Convenience Foods,Kokomi Ly_SườnKokomi Ly_SườnGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokomi Ly_Sườn,Kokomi Ly_Sườn,MT0,Convenience Foods,Kokomi Ly_SườnKokomi Ly_SườnMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC New Inno 1,OMC New Inno 1,GT0,Convenience Foods,OMC New Inno 1OMC New Inno 1GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC New Inno 2,OMC New Inno 2,GT0,Convenience Foods,OMC New Inno 2OMC New Inno 2GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC New Inno 3,OMC New Inno 3,GT0,Convenience Foods,OMC New Inno 3OMC New Inno 3GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC New Inno 1,OMC New Inno 1,MT0,Convenience Foods,OMC New Inno 1OMC New Inno 1MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC New Inno 2,OMC New Inno 2,MT0,Convenience Foods,OMC New Inno 2OMC New Inno 2MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC New Inno 3,OMC New Inno 3,MT0,Convenience Foods,OMC New Inno 3OMC New Inno 3MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 1,KKM New Inno 1,GT0,Convenience Foods,KKM New Inno 1KKM New Inno 1GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 2,KKM New Inno 2,GT0,Convenience Foods,KKM New Inno 2KKM New Inno 2GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 3,KKM New Inno 3,GT0,Convenience Foods,KKM New Inno 3KKM New Inno 3GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 4,KKM New Inno 4,GT0,Convenience Foods,KKM New Inno 4KKM New Inno 4GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 1,KKM New Inno 1,MT0,Convenience Foods,KKM New Inno 1KKM New Inno 1MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 2,KKM New Inno 2,MT0,Convenience Foods,KKM New Inno 2KKM New Inno 2MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 3,KKM New Inno 3,MT0,Convenience Foods,KKM New Inno 3KKM New Inno 3MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno 4,KKM New Inno 4,MT0,Convenience Foods,KKM New Inno 4KKM New Inno 4MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 1 (VN),CN Inno 1 (VN),GT0,Cooking Noodle,CN Inno 1 (VN)CN Inno 1 (VN)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 2 (VN),CN Inno 2 (VN),GT0,Cooking Noodle,CN Inno 2 (VN)CN Inno 2 (VN)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 3 (Seafood),CN Inno 3 (Seafood),GT0,Cooking Noodle,CN Inno 3 (Seafood)CN Inno 3 (Seafood)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 4 (Mara),CN Inno 4 (Mara),GT0,Cooking Noodle,CN Inno 4 (Mara)CN Inno 4 (Mara)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 5 (Egg),CN Inno 5 (Egg),GT0,Cooking Noodle,CN Inno 5 (Egg)CN Inno 5 (Egg)GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 1 (VN),CN Inno 1 (VN),MT0,Cooking Noodle,CN Inno 1 (VN)CN Inno 1 (VN)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 2 (VN),CN Inno 2 (VN),MT0,Cooking Noodle,CN Inno 2 (VN)CN Inno 2 (VN)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 3 (Seafood),CN Inno 3 (Seafood),MT0,Cooking Noodle,CN Inno 3 (Seafood)CN Inno 3 (Seafood)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 4 (Mara),CN Inno 4 (Mara),MT0,Cooking Noodle,CN Inno 4 (Mara)CN Inno 4 (Mara)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CN Inno 5 (Egg),CN Inno 5 (Egg),MT0,Cooking Noodle,CN Inno 5 (Egg)CN Inno 5 (Egg)MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Miến New Inno,Miến New Inno,GT0,Rice base,Miến New InnoMiến New InnoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Miến New Inno,Miến New Inno,MT0,Rice base,Miến New InnoMiến New InnoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bún New Inno,Bún New Inno,GT0,Rice base,Bún New InnoBún New InnoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bún New Inno,Bún New Inno,MT0,Rice base,Bún New InnoBún New InnoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokomi 90g New Inno,Kokomi 90g New Inno,GT0,Convenience Foods,Kokomi 90g New InnoKokomi 90g New InnoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokomi 90g New Inno,Kokomi 90g New Inno,MT0,Convenience Foods,Kokomi 90g New InnoKokomi 90g New InnoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokomi Đại 1.5 New Inno,Kokomi Đại 1.5 New Inno,GT0,Convenience Foods,Kokomi Đại 1.5 New InnoKokomi Đại 1.5 New InnoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kokomi Đại 1.5 New Inno,Kokomi Đại 1.5 New Inno,MT0,Convenience Foods,Kokomi Đại 1.5 New InnoKokomi Đại 1.5 New InnoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno Ly,KKM New Inno Ly,GT0,Convenience Foods,KKM New Inno LyKKM New Inno LyGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno Ly,KKM New Inno Ly,MT0,Convenience Foods,KKM New Inno LyKKM New Inno LyMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno Ly Thịt,KKM New Inno Ly Thịt,GT0,Convenience Foods,KKM New Inno Ly ThịtKKM New Inno Ly ThịtGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM New Inno Ly Thịt,KKM New Inno Ly Thịt,MT0,Convenience Foods,KKM New Inno Ly ThịtKKM New Inno Ly ThịtMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì Gumi hương vị bún bò 75gr,Bún bò,GT0,Convenience Foods,Mì Gumi hương vị bún bò 75grBún bòGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì Gumi hương vị bún bò 75gr,Bún bò,MT0,Convenience Foods,Mì Gumi hương vị bún bò 75grBún bòMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phở New Inno,Phở New Inno,GT0,Rice base,Phở New InnoPhở New InnoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phở New Inno,Phở New Inno,MT0,Rice base,Phở New InnoPhở New InnoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo New Inno,Cháo New Inno,GT0,Rice base,Cháo New InnoCháo New InnoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Cháo New Inno,Cháo New Inno,MT0,Rice base,Cháo New InnoCháo New InnoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instant Noodle Omachi 102 trộn mì lạnh xốt táo 110gr,OMC Táo,GT0,Convenience Foods,Instant Noodle Omachi 102 trộn mì lạnh xốt táo 110grOMC TáoGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instant Noodle Omachi 102 trộn mì lạnh xốt táo 110gr,OMC Táo,MT0,Convenience Foods,Instant Noodle Omachi 102 trộn mì lạnh xốt táo 110grOMC TáoMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Ly New,OMC Ly New,GT0,Convenience Foods,OMC Ly NewOMC Ly NewGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Ly New,OMC Ly New,MT0,Convenience Foods,OMC Ly NewOMC Ly NewMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Healthy,OMC Healthy,GT0,Convenience Foods,OMC HealthyOMC HealthyGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Healthy,OMC Healthy,MT0,Convenience Foods,OMC HealthyOMC HealthyMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi 3,OMC Lẩu tự sôi 3,GT0,Convenience Foods,OMC Lẩu tự sôi 3OMC Lẩu tự sôi 3GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi 3,OMC Lẩu tự sôi 3,MT0,Convenience Foods,OMC Lẩu tự sôi 3OMC Lẩu tự sôi 3MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi 4,OMC Lẩu tự sôi 4,GT0,Convenience Foods,OMC Lẩu tự sôi 4OMC Lẩu tự sôi 4GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi 4,OMC Lẩu tự sôi 4,MT0,Convenience Foods,OMC Lẩu tự sôi 4OMC Lẩu tự sôi 4MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi 5,OMC Lẩu tự sôi 5,GT0,Convenience Foods,OMC Lẩu tự sôi 5OMC Lẩu tự sôi 5GT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OMC Lẩu tự sôi 5,OMC Lẩu tự sôi 5,MT0,Convenience Foods,OMC Lẩu tự sôi 5OMC Lẩu tự sôi 5MT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM Songmi,KKM Songmi,GT0,Convenience Foods,KKM SongmiKKM SongmiGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KKM Songmi,KKM Songmi,MT0,Convenience Foods,KKM SongmiKKM SongmiMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instant Noodle Kokomi Tôm 30gói 65gr,Kokomi Core,GT0_C1,Convenience Foods,Instant Noodle Kokomi Tôm 30gói 65grKokomi CoreGT0_C1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì Gumi hương vị canh cà chua trứng 80gr,Cà chua trứng,GT0,Convenience Foods,Mì Gumi hương vị canh cà chua trứng 80grCà chua trứngGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Mì Gumi hương vị canh cà chua trứng 80gr,Cà chua trứng,MT0,Convenience Foods,Mì Gumi hương vị canh cà chua trứng 80grCà chua trứngMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phở Story 9k (gói)_MN,Phở Story 9k (gói)_MN,GT0,Rice base,Phở Story 9k (gói)_MNPhở Story 9k (gói)_MNGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phở Story 9k (gói)_MN,Phở Story 9k (gói)_MN,MT0,Rice base,Phở Story 9k (gói)_MNPhở Story 9k (gói)_MNMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phở Story 9k (gói)_trộn,Phở Story 9k (gói)_trộn,GT0,Rice base,Phở Story 9k (gói)_trộnPhở Story 9k (gói)_trộnGT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Phở Story 9k (gói)_trộn,Phở Story 9k (gói)_trộn,MT0,Rice base,Phở Story 9k (gói)_trộnPhở Story 9k (gói)_trộnMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instant Coffee Wake up sữa đá 3in1 hộp 24gr,WU _ Nâu/ Sữa đá,GT0,Coffee,Instant Coffee Wake up sữa đá 3in1 hộp 24grWU _ Nâu/ Sữa đáGT0,0.475868475033589,0.475868475033589,0.475868475033589,0.475868475033589,0.475868475033589,0.475868475033589,0.475868475033589,0.3252195734002509,0.5033793853465984,0.475868475033589,0.475868475033589,0.475868475033589
Instant Coffee Wake up nâu đá 3 in 1 hộp 24gr,WU _ Nâu/ Sữa đá,GT0,Coffee,Instant Coffee Wake up nâu đá 3 in 1 hộp 24grWU _ Nâu/ Sữa đáGT0,0.15644990960008406,0.15644990960008406,0.15644990960008406,0.15644990960008406,0.15644990960008406,0.15644990960008406,0.15644990960008406,0.21681304893350065,0.11397269102187134,0.15644990960008406,0.15644990960008406,0.15644990960008406
Instant Coffee Wake up sữa đá 3in1 bịch 24gr,WU _ Nâu/ Sữa đá,GT0,Coffee,Instant Coffee Wake up sữa đá 3in1 bịch 24grWU _ Nâu/ Sữa đáGT0,0.36768161536632704,0.36768161536632704,0.36768161536632704,0.36768161536632704,0.36768161536632704,0.36768161536632704,0.36768161536632704,0.4579673776662484,0.38264792363153016,0.36768161536632704,0.36768161536632704,0.36768161536632704
RTD Cereals B'fast hương cam 110ml,B'fast _ Sữa trái cây,GT0,Nutrition,RTD Cereals B'fast hương cam 110mlB'fast _ Sữa trái câyGT0,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001
RTD Cereals B'fast hương cam 180ml,B'fast _ Sữa trái cây,GT0,Nutrition,RTD Cereals B'fast hương cam 180mlB'fast _ Sữa trái câyGT0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
RTD Cereals B'fast hương dưa lưới 110ml,B'fast _ Sữa trái cây,GT0,Nutrition,RTD Cereals B'fast hương dưa lưới 110mlB'fast _ Sữa trái câyGT0,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001,0.23500000000000001
RTD Cereals B'fast hương dưa lưới 180ml,B'fast _ Sữa trái cây,GT0,Nutrition,RTD Cereals B'fast hương dưa lưới 180mlB'fast _ Sữa trái câyGT0,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265,0.265
RTD Cereals B'fast hương cam 180ml,B'fast _ Sữa trái cây,MT0,Nutrition,RTD Cereals B'fast hương cam 180mlB'fast _ Sữa trái câyMT0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
RTD Cereals B'fast hương dưa lưới 180ml,B'fast _ Sữa trái cây,MT0,Nutrition,RTD Cereals B'fast hương dưa lưới 180mlB'fast _ Sữa trái câyMT0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
	Instant Cereals B'fast hạt hộp 22gr,B'fast _ NC hạt,GT0,Nutrition,	Instant Cereals B'fast hạt hộp 22grB'fast _ NC hạtGT0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.15031055900621115,0.3350615683732988
Instant Cereals B'fast hạt bịch 22gr,B'fast _ NC hạt,GT0,Nutrition,Instant Cereals B'fast hạt bịch 22grB'fast _ NC hạtGT0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8496894409937888,0.6649384316267012
Instant Coffee Wake up sữa đá 3in1 hộp 24gr,WU _ Nâu/ Sữa đá,MT0,Coffee,Instant Coffee Wake up sữa đá 3in1 hộp 24grWU _ Nâu/ Sữa đáMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
	Instant Cereals B'fast hạt hộp 22gr,B'fast _ NC hạt,MT0,Nutrition,	Instant Cereals B'fast hạt hộp 22grB'fast _ NC hạtMT0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.7142857142857143
Instant Cereals B'fast hạt bịch 22gr,B'fast _ NC hạt,MT0,Nutrition,Instant Cereals B'fast hạt bịch 22grB'fast _ NC hạtMT0,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.2857142857142857
Instant Coffee Vinacafe đen kiểu Americano 14gr,VCF _ Paper Cup,GT0,Coffee,Instant Coffee Vinacafe đen kiểu Americano 14grVCF _ Paper CupGT0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Instant Coffee Vinacafe sữa kiểu Mocha 39gr,VCF _ Paper Cup,GT0,Coffee,Instant Coffee Vinacafe sữa kiểu Mocha 39grVCF _ Paper CupGT0,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
Instant Coffee Vinacafe sữa kiểu Latte hương hạt phỉ 39gr,VCF _ Paper Cup,GT0,Coffee,Instant Coffee Vinacafe sữa kiểu Latte hương hạt phỉ 39grVCF _ Paper CupGT0,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
Instant Coffee Vinacafe đen kiểu Americano 14gr,VCF _ Paper Cup,KA0,Coffee,Instant Coffee Vinacafe đen kiểu Americano 14grVCF _ Paper CupKA0,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28
Instant Coffee Vinacafe sữa kiểu Mocha 39gr,VCF _ Paper Cup,KA0,Coffee,Instant Coffee Vinacafe sữa kiểu Mocha 39grVCF _ Paper CupKA0,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
Instant Coffee Vinacafe sữa kiểu Latte hương hạt phỉ 39gr,VCF _ Paper Cup,KA0,Coffee,Instant Coffee Vinacafe sữa kiểu Latte hương hạt phỉ 39grVCF _ Paper CupKA0,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
Instant Coffee Vinacafe đen kiểu Americano 14gr,VCF _ Paper Cup,MT0,Coffee,Instant Coffee Vinacafe đen kiểu Americano 14grVCF _ Paper CupMT0,,,,,,,,,,,,
Instant Coffee Vinacafe sữa kiểu Mocha 39gr,VCF _ Paper Cup,MT0,Coffee,Instant Coffee Vinacafe sữa kiểu Mocha 39grVCF _ Paper CupMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instant Coffee Vinacafe sữa kiểu Latte hương hạt phỉ 39gr,VCF _ Paper Cup,MT0,Coffee,Instant Coffee Vinacafe sữa kiểu Latte hương hạt phỉ 39grVCF _ Paper CupMT0,,,,,,,,,,,,
Instant Coffee Vinacafe 3 in 1 24gói 20gr,VCF _ Gold (base),KA0,Coffee,Instant Coffee Vinacafe 3 in 1 24gói 20grVCF _ Gold (base)KA0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combo gift-set,VCF _ Giftset,MT0,Coffee,Combo gift-setVCF _ GiftsetMT0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
R&G Capsule Wake up độ đậm cấp 1 3gr,WU _ Mini Cup,MT0,Coffee,R&G Capsule Wake up độ đậm cấp 1 3grWU _ Mini CupMT0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
